x,y,code,name
1.1096281,4.7570486,C07D403,Placeholder
3.4884253,3.268229,C08G69,Placeholder
8.22293,1.275194,D06F35,Placeholder
5.048167,0.53255576,C07C2,Placeholder
1.8365058,3.873713,C07D303,Placeholder
11.733045,3.0098352,F16H7,Placeholder
8.404809,4.267467,B65B1,Placeholder
5.1904755,0.26256442,C10G45,Placeholder
11.633477,5.088207,B66B13,Placeholder
6.367744,4.43187,A41D31,Placeholder
9.695253,1.9669297,F16L25,Placeholder
8.352294,4.253958,B65B61,Placeholder
1.726966,3.979712,C07C55,Placeholder
5.443837,0.45273754,C07C7,Placeholder
6.6866274,4.363873,H01B7,Placeholder
3.1956208,5.3055882,A23L2,Placeholder
8.277091,0.34440893,F24F3,Placeholder
4.979375,2.1802976,C01B21,Placeholder
6.5117726,2.756678,B23K15,Placeholder
8.993055,3.2463422,B26D5,Placeholder
6.9800625,2.5916193,B23H7,Placeholder
7.2865057,1.3629504,B01J4,Placeholder
7.3796973,7.0527773,H05H7,Placeholder
9.552803,2.0203595,F16L57,Placeholder
10.161848,4.144006,A47B96,Placeholder
7.201953,2.903638,B21C37,Placeholder
7.684476,-0.7373012,F24D3,Placeholder
7.9957924,-1.3334644,F25B43,Placeholder
4.451453,4.409892,C09B61,Placeholder
8.141094,4.397018,B65C9,Placeholder
3.3352911,5.39074,A23P10,Placeholder
9.124343,3.955623,B23P21,Placeholder
9.877941,6.308817,G06F1,Placeholder
7.640567,1.2457154,B01D46,Placeholder
7.03494,3.1804006,B29C33,Placeholder
7.8313975,0.83181643,D06F75,Placeholder
4.4436183,4.389461,C09B67,Placeholder
6.067128,2.120558,C21D8,Placeholder
12.080185,8.3449335,H03F3,Placeholder
10.996215,2.8162575,B64C9,Placeholder
8.4579315,5.6595674,A61M5,Placeholder
5.7333894,2.1913595,B23K35,Placeholder
1.6643392,4.100221,C07C269,Placeholder
8.193162,2.4530113,G05D11,Placeholder
1.4546148,4.478447,C07D319,Placeholder
10.311049,2.2796714,E21B47,Placeholder
7.5687037,8.760524,F21S43,Placeholder
12.99399,8.907166,H01Q11,Placeholder
5.818387,0.5383126,C10L9,Placeholder
6.7718024,1.8418237,G21C19,Placeholder
10.043677,7.291626,G06F19,Placeholder
11.85161,4.3392777,B60K20,Placeholder
9.298177,0.63356185,F04F5,Placeholder
10.269224,6.9194283,G09B19,Placeholder
7.999775,-1.2870554,F25B9,Placeholder
6.9627857,2.528945,B21B45,Placeholder
1.7664169,5.4383,B82Y5,Placeholder
8.621246,0.18125379,F01N13,Placeholder
1.231958,4.640766,C07D491,Placeholder
7.5262537,2.017945,B08B7,Placeholder
1.7727445,3.8836558,C07C47,Placeholder
3.6292953,3.4302497,C08L79,Placeholder
8.592286,5.888793,A61F2,Placeholder
12.952668,8.931621,H04Q3,Placeholder
9.682462,7.4728994,G06T7,Placeholder
3.4704752,3.6069856,C09D183,Placeholder
8.364035,1.9614435,A47L11,Placeholder
7.587741,8.751618,G09F13,Placeholder
7.4371076,7.0268755,H01J37,Placeholder
4.783936,6.0862074,A01G9,Placeholder
10.551694,4.9507356,A61G7,Placeholder
6.886615,2.5961454,B23K13,Placeholder
6.3828974,3.7682412,B27D1,Placeholder
6.2744055,2.8124065,B33Y70,Placeholder
10.034937,4.122894,E06B5,Placeholder
4.901517,3.3550494,B29D7,Placeholder
12.607091,6.2125564,H01R31,Placeholder
8.101272,2.114616,B05B13,Placeholder
10.331558,7.843583,H04N21,Placeholder
9.731989,6.6048307,A61N2,Placeholder
5.610441,3.0273924,C03C3,Placeholder
6.732967,2.8843217,B22D19,Placeholder
5.520667,2.5807395,C30B25,Placeholder
8.175209,-0.7692343,F25D3,Placeholder
11.1932745,8.87674,H04W56,Placeholder
7.158646,-0.37668753,G01K17,Placeholder
10.227418,6.080929,G01M15,Placeholder
7.35921,-0.23990801,A61F7,Placeholder
3.379272,2.8773122,C08L23,Placeholder
1.0065298,4.8037567,C07D239,Placeholder
12.377601,4.9522095,A01D61,Placeholder
12.209772,2.3343575,B60B3,Placeholder
6.1476636,4.5751643,D03D1,Placeholder
8.36704,3.469359,A47G23,Placeholder
8.113587,5.5153966,A61C17,Placeholder
8.307229,0.50628847,F23K5,Placeholder
6.819957,3.395965,B29K75,Placeholder
7.8738947,2.254872,B02C18,Placeholder
4.9496155,2.4077861,H01B1,Placeholder
7.596972,8.708882,F21V8,Placeholder
3.7841651,3.6723669,C09D171,Placeholder
12.288319,2.1522107,B29D30,Placeholder
12.045666,4.8661113,E01H5,Placeholder
9.68875,0.71957165,F02B39,Placeholder
9.664196,1.9070295,F16L39,Placeholder
11.889648,2.8768222,F16H15,Placeholder
9.531276,0.83514977,F01D5,Placeholder
9.9376745,4.41885,A47F1,Placeholder
3.3641791,5.2693763,A23G1,Placeholder
11.241499,6.3335714,B60Q5,Placeholder
12.295257,7.173307,B60L8,Placeholder
8.633944,7.95349,G02B9,Placeholder
11.762843,6.0459676,B61L15,Placeholder
9.916757,0.31020883,F02D9,Placeholder
11.215617,8.932487,H04B7,Placeholder
10.895331,1.4313773,F16N7,Placeholder
12.676121,4.1695437,E05D11,Placeholder
2.1556115,5.905837,G01N33,Placeholder
11.785178,2.8619745,F16H55,Placeholder
8.732342,2.569876,B23D77,Placeholder
6.5712185,0.52794063,F23G5,Placeholder
6.8750753,2.8845305,B22D25,Placeholder
7.505317,1.0986937,F26B17,Placeholder
7.7573376,7.2812567,G03B42,Placeholder
12.098598,6.926082,H02S20,Placeholder
10.996617,7.288069,G08C15,Placeholder
5.628173,2.1774762,C22C9,Placeholder
11.162403,2.1472166,F03D9,Placeholder
10.729422,5.3366714,A61H3,Placeholder
