x,y,code,name,name_full
8.803409,4.959649,E04B2,"Walls, e.g. partitions, for buildings; Wall con...","Walls, e.g. partitions, for buildings; Wall construction with regard to insulation; Connections specially adapted to walls  (connections for building structures in general E04B"
12.656806,4.788996,G05B23,Testing or monitoring of control systems or par...,Testing or monitoring of control systems or parts thereof (monitoring of programme-control systems G05B
7.6843524,3.1480863,B24D7,"Bonded abrasive wheels, or wheels with inserted...","Bonded abrasive wheels, or wheels with inserted abrasive blocks, designed for acting otherwise than only by their periphery, e.g. by the front face; Bushings or mountings therefor [1,2006.01]"
15.357463,5.0301623,H04J1,Frequency-division multiplex systems  (H04J,Frequency-division multiplex systems  (H04J
9.966167,13.165747,H01Q25,Antennas or antenna systems providing at least ...,Antennas or antenna systems providing at least two radiating patterns (arrangements for changing or varying the orientation or the shape of the directional pattern H01Q
4.311129,-3.499957,C12N15,Mutation or genetic engineering; DNA or RNA con...,"Mutation or genetic engineering; DNA or RNA concerning genetic engineering, vectors, e.g. plasmids, or their isolation, preparation or purification; Use of hosts therefor  (mutants or genetically engineered microorganisms C12N"
13.926587,4.3335648,H04L65,"Network arrangements, protocols or services for...","Network arrangements, protocols or services for supporting real-time applications in data packet communication (real-time or near real-time messaging, e.g. instant messaging [IM] H04L"
3.1848314,-2.5003126,C07D493,Heterocyclic compounds containing oxygen atoms ...,"Heterocyclic compounds containing oxygen atoms as the only ring hetero atoms in the condensed system[2,2006.01]"
9.452796,0.89196527,B43K29,Combinations of writing implements with other a...,"Combinations of writing implements with other articles[1,2006.01]"
3.1863122,-0.44297862,A61Q5,Preparations for care of the hair [2006.01],Preparations for care of the hair [2006.01]
14.593296,12.176165,F21K9,Light sources using semiconductor devices as li...,"Light sources using semiconductor devices as light-generating elements, e.g. using light-emitting diodes [LED] or lasers[2016.01]Note(s)    [2016.01]  1.In this group, the following expressions are used with the meaning indicated:•“light source” means a light-generating component intended for installation in a fitting or holder incorporated in a lighting device;•”retrofit light source” means a light source comprising substantially the same attachment means as those of incandescent lamps or fluorescent lamps. “Retrofit light sources” are specially adapted for replacing or substituting such lamps.2.Semiconductor devices per se, or assemblies thereof, specially adapted for light emission, e.g. for use in light sources (in the sense of Note (1)) are covered by subclasses H01L (e.g. H01L"
9.097102,4.784609,E06B3,"Window sashes, door leaves, or like elements fo...","Window sashes, door leaves, or like elements for closing openings; Layout of fixed or moving closures,e.g. windows; Features of rigidly-mounted outer frames relating to the mounting of wing frames  (E06B"
7.4338174,4.4217668,F16L21,Joints with sleeve or socket  (F16L,Joints with sleeve or socket  (F16L
12.936981,4.3770895,G07D11,,
12.112452,3.7408934,B60K35,Arrangement or adaptations of instruments  (arr...,Arrangement or adaptations of instruments  (arrangements on dashboard B60K
2.0571764,1.8741177,C08F136,Homopolymers of compounds having one or more un...,"Homopolymers of compounds having one or more unsaturated aliphatic radicals, at least one having two or more carbon-to-carbon double bonds  (C08F"
5.8913536,2.5365973,B28B3,Producing shaped articles from the material by ...,Producing shaped articles from the material by usingpresses (shaping on moving conveyors B28B
15.109668,4.633378,H04W36,Handoff or reselecting arrangements [2009.01],Handoff or reselecting arrangements [2009.01]
5.7084913,2.9299989,B29K67,"Use of polyesters as moulding material [4,2006.01]","Use of polyesters as moulding material [4,2006.01]"
13.114401,4.9154625,G06K17,Methods or arrangements for effecting co-operat...,Methods or arrangements for effecting co-operative working between equipments covered by two or more of main groups G06K
6.400356,-0.21686989,B01D17,"Separation of liquids, not provided for elsewhe...","Separation of liquids, not provided for elsewhere, e.g.by thermal diffusion[1,2006.01]"
11.038562,8.188066,H02K33,"Motors with reciprocating, oscillating or vibra...","Motors with reciprocating, oscillating or vibrating magnet, armature or coil system  (arrangements for handling mechanical energy structurally associated with motors H02K"
